# File Name: /Volumes/SHARED/Mallory/data/2023/12-23/IAV_burstsize_12-11-23/burstsize_ost_qs3_2023-12-13-112357_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272321126
# Instrument Serial Number: 272321126
# Heated Cover Serial Number:
# Block Serial Number: 33160298
# Run Start Date/Time: 2023-12-13 11:54:12 AM CST
# Run End Date/Time: 2023-12-13 01:49:43 PM CST
# Run Duration: 115 minutes 30 seconds
# Sample Volume: 25.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-12-14 11:36:34 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2024-03-13 11:36:13 AM CDT
"Well","Well Position","Cycle Number","FAM","ROX"
"1","A1","1","75570.03","295038.2"
"1","A1","2","95023.23","422173.03"
"1","A1","3","95339.7","421962.75"
"1","A1","4","99141.984","421388.7"
"1","A1","5","102799.32","420876.12"
"1","A1","6","109063.74","420325.78"
"1","A1","7","119913.01","419638.6"
"1","A1","8","140248.22","419005.44"
"1","A1","9","176589.45","418349.38"
"1","A1","10","236584.86","417629.28"
"1","A1","11","326976.7","416653.88"
"1","A1","12","445585.4","416145.38"
"1","A1","13","583322.94","415852.28"
"1","A1","14","723217.8","415531.2"
"1","A1","15","850720.56","415179.9"
"1","A1","16","959755.3","414227.1"
"1","A1","17","1048391.2","413502.7"
"1","A1","18","1117390.6","413205.53"
"1","A1","19","1168933.1","413171.94"
"1","A1","20","1210216.6","412548.28"
"1","A1","21","1239232.4","412107.3"
"1","A1","22","1258209.8","411683.0"
"1","A1","23","1272957.6","411344.72"
"1","A1","24","1282915.1","410996.06"
"1","A1","25","1290240.9","410721.6"
"1","A1","26","1295558.4","410470.22"
"1","A1","27","1297954.8","410039.06"
"1","A1","28","1302288.4","409690.75"
"1","A1","29","1304493.1","409225.8"
"1","A1","30","1307020.0","408958.75"
"1","A1","31","1309749.6","408838.28"
"1","A1","32","1312230.8","408856.06"
"1","A1","33","1312878.8","408567.72"
"1","A1","34","1314660.8","408061.53"
"1","A1","35","1318039.8","407770.94"
"1","A1","36","1319122.1","407570.4"
"1","A1","37","1320422.0","407274.66"
"1","A1","38","1321752.6","406944.88"
"1","A1","39","1323455.9","406477.8"
"1","A1","40","1325766.0","406128.56"
"1","A1","41","1327241.6","406061.47"
"2","A2","1","78515.04","288218.44"
"2","A2","2","97811.61","418798.9"
"2","A2","3","97977.45","418629.12"
"2","A2","4","98054.445","418347.8"
"2","A2","5","98234.75","417890.12"
"2","A2","6","98183.82","417246.9"
"2","A2","7","98105.22","416692.47"
"2","A2","8","98049.39","415975.03"
"2","A2","9","97745.86","415437.62"
"2","A2","10","97674.82","414802.06"
"2","A2","11","97769.6","414313.9"
"2","A2","12","97613.52","413947.72"
"2","A2","13","97591.66","413634.78"
"2","A2","14","97866.19","413160.12"
"2","A2","15","98236.695","412686.53"
"2","A2","16","98044.02","412219.9"
"2","A2","17","97837.08","411879.7"
"2","A2","18","97804.16","411622.62"
"2","A2","19","97919.336","411191.8"
