# File Name: /Volumes/SHARED/Mallory/data/2023/12-23/IAV_burstsize_12-11-23/burstsize_ost_qs3_2023-12-13-112357_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272321126
# Instrument Serial Number: 272321126
# Heated Cover Serial Number:
# Block Serial Number: 33160298
# Run Start Date/Time: 2023-12-13 11:54:12 AM CST
# Run End Date/Time: 2023-12-13 01:49:43 PM CST
# Run Duration: 115 minutes 30 seconds
# Sample Volume: 25.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-12-14 11:36:34 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2024-03-13 11:36:13 AM CDT
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","m gene 10^8","6.083E8","Target 1","FAM","STANDARD","FAM","None","Amp","6.814924621711002","6.814924621711002","0.9175460233949165","","","","true","0.08291572549849649","true","3","4","","","","","40.2508","0.997983037488514","-3.7997","83.30592170828317","0.45217940332705053","0.06973721655181121","false"
"2","A2","+ost 0 hpi","","Target 1","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.08291572549849649","true","3","36","","","","","40.2508","0.997983037488514","-3.7997","83.30592170828317","0.45217940332705053","0.06973721655181121","false"
"3","A3","- ost 0 hpi","7.284301534410846","Target 1","FAM","UNKNOWN","FAM","None","Amp","36.97398463876765","37.12938101304161","0.9725333809504308","0.21976366004145345","","","true","0.08291572549849649","true","3","32","","","","","40.2508","0.997983037488514","-3.7997","83.30592170828317","0.45217940332705053","0.06973721655181121","false"
"4","A4","-H1-OST 24 hpi","","Target 1","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.08291572549849649","true","3","39","","","","","40.2508","0.997983037488514","-3.7997","83.30592170828317","0.45217940332705053","0.06973721655181121","false"
"13","B1","m gene 10^7","6.083E7","Target 1","FAM","STANDARD","FAM","None","Amp","10.62458866392474","10.62458866392474","0.9812731302829276","","","","true","0.08291572549849649","true","3","7","","","","","40.2508","0.997983037488514","-3.7997","83.30592170828317","0.45217940332705053","0.06973721655181121","false"
"14","B2","+ost 0 hpi","","Target 1","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.08291572549849649","true","3","39","","","","","40.2508","0.997983037488514","-3.7997","83.30592170828317","0.45217940332705053","0.06973721655181121","false"
"15","B3","- ost 0 hpi","6.03384142508363","Target 1","FAM","UNKNOWN","FAM","None","Amp","37.28477738731557","37.12938101304161","0.9523996311128632","0.21976366004145345","","","true","0.08291572549849649","true","3","33","","","","","40.2508","0.997983037488514","-3.7997","83.30592170828317","0.45217940332705053","0.06973721655181121","false"
"16","B4","-H1-OST 24 hpi","","Target 1","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.08291572549849649","true","3","39","","","","","40.2508","0.997983037488514","-3.7997","83.30592170828317","0.45217940332705053","0.06973721655181121","false"
"25","C1","m gene 10^6","6083000.0","Target 1","FAM","STANDARD","FAM","None","Amp","14.963383671583308","14.963383671583308","0.989959335954289","","","","true","0.08291572549849649","true","3","11","","","","","40.2508","0.997983037488514","-3.7997","83.30592170828317","0.45217940332705053","0.06973721655181121","false"
"26","C2","+ost 0 hpi","","Target 1","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.08291572549849649","true","3","36","","","","","40.2508","0.997983037488514","-3.7997","83.30592170828317","0.45217940332705053","0.06973721655181121","false"
